idrelacionamento_produto,sku,codprod_woo,codprod_lj,estoque,empromo,empresas_idempresas
50923,019283,4224,019283,42,NULL,1
50958,019318,943,019318,1,NULL,1
50986,019346,1301,019346,3,NULL,1
51036,019396,3516,019396,59,NULL,1
51052,019412,2566,019412,3,NULL,1
51086,019446,828,019446,14,NULL,1
51087,019447,1311,019447,25,NULL,1
51225,019585,2283,019585,1,NULL,1
51250,019610,1732,019610,3,NULL,1
51253,019613,4231,019613,7,NULL,1
51297,019657,1344,019657,9,NULL,1
51299,019659,3645,019659,43,NULL,1
51302,019662,1324,019662,0,NULL,1
51320,019680,1202,019680,75,NULL,1
51322,019682,1962,019682,4,NULL,1
51323,019683,982,019683,135,NULL,1
51336,019696,2188,019696,6,NULL,1
51360,019720,3578,019720,62,NULL,1
51498,019858,3785,019858,3,NULL,1
51558,019918,3598,019918,17,NULL,1
51663,020025,1134,020025,144,NULL,1
51678,020040,921,020040,0,NULL,1
51727,020089,1218,020089,1,NULL,1
51728,020090,1783,020090,114,NULL,1
51930,020292,2393,020292,67,NULL,1
51950,020312,2094,020312,13,NULL,1
51956,020318,3638,020318,0,NULL,1
52038,020400,2097,020400,108,NULL,1
52043,020405,1404,020405,14,NULL,1
52047,020409,1422,020409,2,NULL,1
52058,020420,2197,020420,137,NULL,1
52089,020451,1137,020451,1,NULL,1
52330,020692,3538,020692,1104,NULL,1
52680,021042,3509,021042,0,NULL,1
52728,021090,4221,021090,135,NULL,1
52783,021146,2636,021146,13,NULL,1
52822,021185,2720,021185,152,NULL,1
52939,021303,2582,021303,45,NULL,1
52967,021331,2280,021331,2,NULL,1
53004,021368,2555,021368,175,NULL,1
53226,021594,2490,021594,41,NULL,1
53337,021712,935,021712,71,NULL,1
53338,021713,1184,021713,64,NULL,1
53821,022224,1575,022224,2,NULL,1
54413,022816,2544,022816,329,NULL,1
54414,022817,1801,022817,298,NULL,1
54447,022850,912,022850,1,NULL,1
54473,022876,2313,022876,34,NULL,1
54662,023073,1490,023073,11,NULL,1
54721,023133,1648,023133,30,NULL,1
54840,023258,2509,023258,103,NULL,1
54932,023351,2681,023351,9,NULL,1
55294,023761,2221,023761,5,NULL,1
55379,023847,1264,023847,0,NULL,1
55483,023954,1824,023954,6,NULL,1
55638,024109,2659,024109,34,NULL,1
55641,024112,3743,024112,13,NULL,1
55847,024326,2229,024326,7,NULL,1
55880,024360,1410,024360,37,NULL,1
56029,024514,1244,024514,12,NULL,1
56055,024540,1275,024540,13,NULL,1
56183,024669,1406,024669,28,NULL,1
56488,024977,1332,024977,36,NULL,1
56934,025433,1770,025433,5,NULL,1
57252,025752,3571,025752,12,NULL,1
57409,025922,2326,025922,279,NULL,1
57416,025930,3617,025930,198,NULL,1
57422,025938,2451,025938,1,NULL,1
57496,026017,3545,026017,77,NULL,1
57634,026155,2484,026155,178,NULL,1
57640,026161,3535,026161,10,NULL,1
58066,026588,2265,026588,19,NULL,1
58211,026733,2081,026733,63,NULL,1
58239,026761,3791,026761,17,NULL,1
58335,026857,4273,026857,207,NULL,1
58374,026896,2427,026896,6,NULL,1
58387,026909,2244,026909,15,NULL,1
58508,027030,1085,027030,0,NULL,1
58517,027039,1519,027039,12,NULL,1
58734,027258,1282,027258,3,NULL,1
58780,027304,1725,027304,85,NULL,1
58789,027313,3575,027313,63,NULL,1
58802,027326,2519,027326,13,NULL,1
58803,027327,1748,027327,79,NULL,1
58811,027335,1397,027335,5,NULL,1
58817,027341,2091,027341,309,NULL,1
58826,027350,2322,027350,3,NULL,1
58838,027362,1384,027362,18,NULL,1
58865,027389,4227,027389,40,NULL,1
58872,027396,2433,027396,13,NULL,1
58912,027436,2107,027436,32,NULL,1
58919,027443,1353,027443,11,NULL,1
58924,027448,1420,027448,42,NULL,1
58937,027461,1958,027461,45,NULL,1
58960,027484,822,027484,3,NULL,1
59138,027662,1710,027662,54,NULL,1
59151,027675,903,027675,0,NULL,1
59190,027714,3667,027714,173,NULL,1
59207,027731,2496,027731,12,NULL,1
59782,028306,3595,028306,10,NULL,1
59798,028322,1027,028322,16,NULL,1
59871,028395,1078,028395,3,NULL,1
59873,028397,1639,028397,62,NULL,1
